time,a0,a2,a3,a4,a5,a6,
20:01:38,18.71,18.75,22.16,23.44,18.88,18.86,
20:01:39,18.80,18.76,24.60,23.48,18.80,18.86,
20:01:39,18.80,18.76,22.86,23.46,18.88,18.86,
20:01:40,18.80,18.76,23.64,23.47,18.88,18.86,
20:01:40,18.71,18.76,24.34,23.49,18.80,18.86,
20:01:41,18.71,18.76,21.82,23.45,18.88,18.86,
20:01:41,18.80,18.76,24.52,23.47,18.88,18.86,
20:01:42,18.71,18.76,24.08,23.49,18.80,18.86,
20:01:42,18.80,18.76,21.90,23.45,18.88,18.86,
20:01:43,18.80,18.76,24.69,23.48,18.88,18.86,
20:01:43,18.71,18.76,23.29,23.48,18.80,18.86,
20:01:44,18.80,18.76,23.21,23.47,18.88,18.86,
20:01:44,18.80,18.76,24.43,23.49,18.88,18.86,
20:01:45,18.80,18.76,22.08,23.46,18.88,18.86,
20:01:45,18.80,18.76,24.43,23.48,18.80,18.86,
20:01:46,18.80,18.76,24.17,23.50,18.88,18.86,
20:01:46,18.80,18.76,21.90,23.46,18.88,18.86,
20:01:47,18.80,18.76,24.69,23.49,18.88,18.86,
20:01:48,18.80,18.76,23.55,23.49,18.80,18.86,
20:01:48,18.80,18.76,22.77,23.47,18.88,18.86,
20:01:49,18.71,18.76,24.52,23.50,18.80,18.86,
20:01:49,18.71,18.76,22.60,23.48,18.88,18.86,
20:01:50,18.71,18.76,23.82,23.48,18.80,18.86,
20:01:50,18.80,18.76,23.99,23.49,18.88,18.86,
20:01:51,18.71,18.76,22.16,23.47,18.88,18.86,
20:01:51,18.80,18.76,24.34,23.49,18.88,18.86,
20:01:52,18.71,18.76,23.73,23.49,18.80,18.86,
20:01:52,18.80,18.76,22.68,23.48,18.88,18.86,
20:01:53,18.80,18.76,24.52,23.49,18.80,18.86,
20:01:53,18.80,18.76,22.77,23.48,18.88,18.86,
20:01:54,18.80,18.76,23.64,23.48,18.88,18.86,
20:01:54,18.80,18.76,24.08,23.49,18.88,18.86,
20:01:55,18.71,18.76,22.25,23.47,18.88,18.86,
20:01:55,18.80,18.76,24.34,23.49,18.88,18.86,
20:01:56,18.80,18.76,23.82,23.49,18.88,18.86,
20:01:56,18.80,18.76,22.51,23.48,18.88,18.86,
20:01:57,18.80,18.77,24.25,23.49,18.88,18.86,
20:01:57,18.80,18.77,22.94,23.48,18.88,18.86,
20:01:58,18.80,18.77,23.55,23.48,18.88,18.86,
20:01:58,18.80,18.77,24.34,23.49,18.88,18.86,
20:01:59,18.71,18.77,22.08,23.47,18.80,18.86,
20:01:59,18.80,18.77,24.25,23.49,18.88,18.86,
20:02:00,18.71,18.77,24.17,23.49,18.88,18.86,
